# AU Suburbs Gazetteer (v0.4.1)
# Source: matthewproctor/australianpostcodes (CC0)
# Generated: 16165 unique suburb names
# Format: suburb_name|state1,state2,...
Apsley|NSW,TAS,VIC
Arable|NSW
Arakoon|NSW
Araluen|NSW,NT,QLD
Araluen North|NSW
Aramac|QLD
Aramara|QLD
Arana Hills|QLD
Aranbanga|QLD
Aranda|ACT
Arapiles|VIC
Ararat|VIC
Ararat East|VIC
Aratula|NSW,QLD
Arawata|VIC
Arbouin|QLD
Arbuckle|VIC
Arcadia|NSW,QLD,VIC
Arcadia Bay|QLD
Arcadia South|VIC
Arcadia Vale|NSW
Arcadia Valley|QLD
Archdale|VIC
Archdale Junction|VIC
Archer|NT
Archer River|QLD
Archerfield|QLD
Archerfield Bc|QLD
Archerton|VIC
Archies Creek|VIC
Arckaringa|SA
Arcoona|SA
Arcturus|QLD
Ardath|WA
Ardeer|VIC
Ardglen|NSW
Arding|NSW
Ardlethan|NSW
Ardmona|VIC
Ardross|WA
Ardrossan|SA
Areegra|VIC
Areyonga|NT
Argalong|NSW
Argenton|NSW
Argents Hill|NSW
Argoon|NSW,QLD
Argyle|NSW,VIC,WA
Argyll|QLD
Ariah Park|NSW
Arkaroola|SA
Arkaroola Village|SA
Arkell|NSW
Arkendeith|QLD
Arkstone|NSW
Armadale|VIC,WA
Armadale North|VIC
Armagh|SA
Armatree|NSW
Armidale|NSW
Armidale Dc|NSW
Armidale East|NSW
Armstrong|VIC
Armstrong Beach|QLD
Armstrong Creek|QLD,VIC
Arncliffe|NSW
Arndell Park|NSW
Arno Bay|SA
Arnold|NT,VIC
Arnold West|VIC
Aroona|QLD
Arrawarra|NSW
Arrawarra Headland|NSW
Arriga|QLD
Arrino|WA
Arrowsmith|WA
Arrowsmith East|WA
Artarmon|NSW
Arthur River|TAS,WA
Arthurs Creek|VIC
Arthurs Lake|TAS
Arthurs Seat|VIC
Arthurton|SA
Arthurville|NSW
Arumbera|NT
Arumpo|NSW
Arundel|QLD
Arundel Bc|QLD
Arundel Dc|QLD
Ascot|QLD,VIC,WA
Ascot Park|SA
Ascot Vale|VIC
Ashbourne|SA,VIC
Ashburton|VIC
Ashbury|NSW
Ashby|NSW,WA
Ashby Heights|NSW
Ashby Island|NSW
Ashcroft|NSW
Ashendon|WA
Ashfield|NSW,QLD,WA
Ashford|NSW,SA
Ashgrove|QLD
Ashgrove East|QLD
Ashgrove West|QLD
Ashley|NSW
Ashmont|NSW
Ashmore|QLD
Ashmore City|QLD
Ashton|SA
Ashtonfield|NSW
Ashville|NSW,SA
Ashwell|QLD
Ashwood|VIC
Aspendale|VIC
Aspendale Gardens|VIC
Aspley|QLD
Asquith|NSW
Athelstone|SA
Atherton|QLD
Athlone|VIC
Athol|QLD
Athol Park|SA
Atholwood|NSW
Atitjere|NT
Atkinsons Dam|QLD
Attadale|WA
Attunga|NSW
Attwood|VIC
Atwell|WA
Aubigny|QLD
Aubin Grove|WA
Aubinville|QLD
Aubrey|VIC
Auburn|NSW,QLD,SA,VIC
Auburn South|NSW,VIC
Auburn Vale|NSW
Auchenflower|QLD
Auchmore|VIC
Audley|NSW
Augathella|QLD
Augusta|WA
Augustine Heights|QLD
Augustus Downs|QLD
Auldana|SA
Aurukun|QLD
Aurville|NSW
Austinmer|NSW
Austins Ferry|TAS
Austinville|QLD
Austral|NSW
Austral Eden|NSW
Australia Fair|QLD
Australia Plains|SA
Australian Defence Forces|NSW
Australian National University|ACT
Australind|WA
Avalon|NSW,VIC
Avalon Beach|NSW
Aveley|WA
Avenel|VIC
Avenell Heights|QLD
Avenue Range|SA
Avisford|NSW
Avoca|NSW,QLD,TAS,VIC
Avoca Beach|NSW
Avoca Dell|SA
Avoca Vale|QLD
Avon|NSW,SA
Avon Downs|NT
Avon Plains|VIC
Avon Valley National Park|WA
Avondale|NSW,QLD
Avondale Heights|VIC
Avonmore|VIC
Avonside|NSW
Avonsleigh|VIC
Awaba|NSW
Axe Creek|VIC
Axedale|VIC
Ayers Range South|NT
Ayers Rock|NT
Aylmerton|NSW
Ayr|QLD
Ayrford|VIC
Ayton|QLD
Baan Baa|NSW
Baandee|WA
Baarmutha|VIC
Babakin|WA
Babbage Island|WA
Babinda|NSW,QLD
Babyl Creek|NSW
Bacchus Marsh|VIC
Back Creek|NSW
Back Forest|NSW
Back Plains|QLD
Back Valley|SA
Backmede|NSW
Backwater|NSW
Backy Point|SA
Badagarang|NSW
Baddaginnie|VIC
Baddow|QLD
Baden|TAS
Badgebup|WA
Badger Creek|VIC
Badger Head|TAS
Badgerin Rock|WA
Badgerys Creek|NSW
Badgin|WA
Badgingarra|WA
Badja|NSW
Badjaling|WA
Badu Island|QLD
Bael Bael|VIC
Baerami|NSW
Baerami Creek|NSW
Baffle Creek|QLD
Baffle West|QLD
Bagdad|TAS
Bagdad North|TAS
Bagnoo|NSW
Bago|NSW
Bagot|NT
Bagot Well|SA
Bagotville|NSW
Bagshot|VIC
Bagshot North|VIC
Bahgallah|VIC
Bahrs Scrub|QLD
Bailey Creek|QLD
Bailieston|VIC
Bailup|WA
Baines|NT
Baird Bay|SA
Bairnsdale|VIC
Bajool|QLD
Bakara|SA
Bakara Well|SA
Bakers Beach|TAS
Bakers Bend|QLD
Bakers Creek|NSW,QLD
Bakers Hill|WA
Bakers Swamp|NSW
Bakery Hill|VIC
Bakewell|NT
Baking Board|QLD
Balaclava|NSW,VIC
Balah|SA
Balaklava|SA
Balala|NSW
Balarang|NSW
Balbarrup|WA
Balberra|QLD
Balcatta|WA
Balcolyn|NSW
Balcomba|QLD
Bald Blair|NSW
Bald Hills|NSW,QLD,SA,VIC
Bald Knob|QLD
Bald Nob|NSW
Bald Ridge|NSW
Bald Rock|VIC
Baldersleigh|NSW
Baldina|SA
Baldivis|WA
Baldry|NSW
Balfes Creek|QLD
Balfours Peak|NSW
Balga|WA
Balgal Beach|QLD
Balgowan|QLD,SA
Balgowlah|NSW
Balgowlah Heights|NSW
Balgownie|NSW
Balhannah|SA
Balickera|NSW
Balingool|QLD
Balingup|WA
Balintore|VIC
Balkuling|WA
Ball Bay|QLD
Balla Balla|WA
Balladong|WA
Balladonia|WA
Balladoran|NSW
Ballajura|WA
Ballalaba|NSW
Ballan|VIC
Ballandean|QLD
Ballangeich|VIC
Ballapur|VIC
Ballarat|VIC
Ballarat Central|VIC
Ballarat East|VIC
Ballarat North|VIC
Ballarat Roadside Delivery|VIC
Ballarat West|VIC
Ballard|QLD
Ballaroo|QLD
Ballast Head|SA
Ballaying|WA
Balldale|NSW
Ballendella|VIC
Ballengarra|NSW
Balliang|VIC
Balliang East|VIC
Ballidu|WA
Ballimore|NSW
Ballina|NSW
Ballina Dc|NSW
Ballogie|QLD
Bally Bally|WA
Ballymore|QLD
Ballyroe|NSW
Ballyrogan|VIC
Balmain|NSW
Balmain East|NSW
Balmattum|VIC
Balmoral|NSW,QLD,VIC
Balmoral Ridge|QLD
Balmoral Village|NSW
Balnagowan|QLD
Balnarring|VIC
Balnarring Beach|VIC
Balook|VIC
Balranald|NSW
Balwyn|VIC
Balwyn East|VIC
Balwyn North|VIC
Bamaga|QLD
Bamarang|NSW
Bamawm|VIC
Bamawm Extension|VIC
Bambaroo|QLD
Bamboo|QLD
Bamboo Creek|QLD
Bambra|VIC
Bambun|WA
Bamganie|VIC
Ban Ban|QLD
Ban Ban Springs|QLD
Banana|QLD
Banca|TAS
Bancroft|QLD
Banda Banda|NSW
Bandiana|VIC
Bandiana Milpo|VIC
Bandon|NSW
Bandon Grove|NSW
Bandy Creek|WA
Bandya|WA
Bangadang|NSW
Bangalee|NSW,QLD
Bangalow|NSW
Bangerang|VIC
Bangham|SA
Bangheet|NSW
Bangholme|VIC
Bango|NSW
Bangor|NSW,SA,TAS
Banjup|WA
Banks|ACT
Banks Creek|QLD
Banks Island|QLD
Banks Pocket|QLD
Banksia|NSW
Banksia Beach|QLD
Banksia Grove|WA
Banksia Park|SA
Banksia Peninsula|VIC
Banksiadale|WA
Banksmeadow|NSW
Bankstown|NSW
Bankstown Aerodrome|NSW
Bankstown Airport|NSW
Bankstown North|NSW
Bankstown Square|NSW
Bannaby|NSW
Bannerton|VIC
Bannister|NSW,WA
Bannockburn|QLD,VIC
Banoon|NSW,QLD
Banora Point|NSW
Banya|QLD
Banyabba|NSW
Banyan|VIC
Banyena|VIC
Banyenong|VIC
Banyo|QLD
Banyule|VIC
Bapaume|QLD
Bar Beach|NSW
Bar Point|NSW
Bara|NSW
Barabba|SA
Baradine|NSW
Baraimal|NSW
Barakula|QLD
Baralaba|QLD
Barambah|QLD
Baranduda|VIC
Barangaroo|NSW
Baratta|SA
Barbalin|WA
Barberton|WA
Barbigal|NSW
Barcaldine|QLD
Barcaldine Downs|QLD
Barcoongere|NSW
Barden Ridge|NSW
Bardia|NSW
Bardon|QLD
Bardon West|QLD
Bardwell Park|NSW
Bardwell Valley|NSW
Baree|QLD
Bareena|VIC
Barellan|NSW
Barellan Point|QLD
Barfold|VIC
Bargara|QLD
Bargo|NSW
Bargunyah|QLD
Barham|NSW
Barigan|NSW
Baringa|QLD
Baringhup|VIC
Baringhup West|VIC
Barinia|SA
Barjarg|VIC
Barker Creek Flat|QLD
Barkers Creek|VIC
Barkers Vale|NSW
Barkly|QLD,VIC
Barkstead|VIC
Barlil|QLD
Barlows Hill|QLD
Barlyne|QLD
Barmah|VIC
Barmaryee|QLD
Barmedman|NSW
Barmera|SA
Barmoya|QLD
Barmundu|QLD
Barna|SA
Barnadown|VIC
Barnard|QLD
Barnawartha|VIC
Barnawartha North|VIC
Barndioota|SA
Barnes Bay|TAS
Barney Point|QLD
Barney View|QLD
Barneys Reef|NSW
Barnsley|NSW
Baromi|VIC
Barongarook|VIC
Barongarook West|VIC
Barooga|NSW
Baroon Pocket|QLD
Baroona|QLD
Baroondah|QLD
Baroota|SA
Barossa Goldfields|SA
Barraba|NSW
Barrabool|VIC
Barrabup|WA
Barrack Heights|NSW
Barrack Point|NSW
Barraganyatti|NSW
Barragga Bay|NSW
Barragup|WA
Barrakee|VIC
Barrallier|NSW
Barramornie|QLD
Barramunga|VIC
Barraport|VIC
Barraport West|VIC
Barratta|NSW,QLD
Barren Grounds|NSW
Barrengarry|NSW
Barretta|TAS
Barretts Creek|NSW
Barrine|QLD
Barringella|NSW
Barringha|QLD
Barrington|NSW,TAS
Barrington Tops|NSW
Barringun|NSW,QLD
Barron|QLD
Barron Gorge|QLD
Barrow Creek|NT
Barrow Island|WA
Barry|NSW
Barrys Reef|VIC
Bartle Frere|QLD
Barton|ACT
Barunah Park|VIC
Barunah Plains|VIC
Barunga|NT
Barunga Gap|SA
Barwang|NSW
Barwidgee|VIC
Barwidgi|QLD
Barwite|VIC
Barwon|NSW
Barwon Downs|VIC
Barwon Heads|VIC
Baryulgil|NSW
Basalt|QLD,VIC
Basilisk|QLD
Basin Plain|NSW
Basin Pocket|QLD
Basin View|NSW
Baskerville|WA
Basket Range|SA
Bass|VIC
Bass Hill|NSW
Bassendean|NSW,WA
Bassendean Dc|WA
Batar Creek|NSW
Batchelor|NT
Bateau Bay|NSW
Batehaven|NSW
Bateman|WA
Batemans Bay|NSW
Batesford|VIC
Bathampton|NSW
Bathumi|VIC
Bathurst|NSW
Bathurst Island|NT
Bathurst Street Po|TAS
Bathurst West|NSW
Batlow|NSW
Batman|VIC
Battery Hill|QLD
Battery Point|TAS
Baudin|WA
Baudin Beach|SA
Bauhinia|QLD
Baulkham Hills|NSW
Bauple|QLD
Bauple Forest|QLD
Baw Baw|NSW,VIC
Baw Baw Village|VIC
Bawley Point|NSW
Baxter|VIC
Baxters Ridge|NSW
Bay Of Shoals|SA
Bay Village|NSW
Bayah|SA
Bayfield|QLD
Bayindeen|VIC
Bayldon|NSW
Bayles|VIC
Baynton|VIC,WA
Baynton East|VIC
Bayonet Head|WA
Bayrick|QLD
Bayswater|VIC,WA
Bayswater North|VIC
Bayview|NSW,NT
Bayview Heights|QLD
Beach Holm|QLD
Beachlands|WA
Beachmere|QLD
Beachport|SA
Beacon|WA
Beacon Hill|NSW
Beaconsfield|NSW,QLD,TAS,VIC,WA
Beaconsfield Upper|VIC
Beadell|WA
Bealiba|VIC
Bean Creek|NSW
Bearbong|NSW
Beard|ACT
Beargamil|NSW
Bearii|VIC
Bears Lagoon|VIC
Beatrice|QLD
Beatty|SA
Beauchamp|VIC
Beaudesert|QLD
Beaufort|QLD,SA,VIC
Beaufort River|WA
Beaumaris|TAS,VIC
Beaumont|NSW,SA,WA
Beaumont Hills|NSW
Beaumonts|SA
Beaury Creek|NSW
Beauty Point|NSW,TAS
Beaver Rock|QLD
Beazleys Bridge|VIC
Beckenham|WA
Beckom|NSW
Bective|NSW
Bectric|NSW
Bedford|WA
Bedford Park|SA
Bedford Road|VIC
Bedfordale|WA
Bedgerabong|NSW
Bedgerebong|NSW
Bedourie|QLD
Beeac|VIC
Beebo|QLD
Beech Forest|VIC
Beechboro|WA
Beecher|QLD
Beechford|TAS
Beechina|WA
Beechmont|QLD
Beechwood|NSW
Beechworth|VIC
Beecroft|NSW
Beecroft Peninsula|NSW
Beedelup|WA
Beela|WA
Beelbangera|NSW
Beelbee|QLD
Beelbi Creek|QLD
Beelerup|WA
Beeliar|WA
Beemunnel|NSW
Beenaam Valley|QLD
Beenak|VIC
Beenleigh|QLD
Beenong|WA
Beerburrum|QLD
Beermullah|WA
Beeron|QLD
Beerwah|QLD
Bees Creek|NT
Beetaloo Valley|SA
Bega|NSW
Beggan Beggan|NSW
Begonia|QLD
Beilba|QLD
Beilpajah|NSW
Bejoording|WA
Belair|SA
Belalie East|SA
Belalie North|SA
Belanglo|NSW
Belbora|NSW
Belcong|QLD
Belconnen|ACT
Belconnen Dc|ACT
Beldon|WA
Belfield|NSW
Belford|NSW
Belfrayden|NSW
Belgian Gardens|QLD
Belgrave|VIC
Belgrave Heights|VIC
Belgrave South|VIC
Belgravia|NSW
Belhus|WA
Belimbla Park|NSW
Belivah|QLD
Bell|NSW,QLD
Bell Bay|TAS
Bell Bird Creek|VIC
Bell Park|VIC
Bell Post Hill|VIC
Bella Creek|QLD
Bella Vista|NSW
Bellamack|NT
Bellambi|NSW
Bellangry|NSW
Bellara|QLD
Bellarine|VIC
Bellata|NSW
Bellawongarah|NSW
Bellbird|NSW
Bellbird Creek|VIC
Bellbird Heights|NSW
Bellbird Park|QLD
Bellbowrie|QLD
Bellbrae|VIC
Bellbridge|VIC
Bellbrook|NSW
Bellellen|VIC
Bellenden Ker|QLD
Bellerive|TAS
Bellevue|QLD,WA
Bellevue Heights|SA
Bellevue Hill|NSW
Bellfield|QLD,VIC
Bellhaven|QLD
Belli Park|QLD
Bellimbopinni|NSW
Bellingen|NSW
Bellingham|TAS
Bellmere|QLD
Bellmount Forest|NSW
Bells Beach|VIC
Bells Bridge|QLD
Bells Creek|QLD
Bellthorpe|QLD
Belltrees|NSW
